ARMOR,LONGSWD,KNIFE,FIRE_ROD,CLUB,DICE,STAFF,BOW,HALBERD,STICK,SHURIKEN,GELBLADE,FLAMBARD,ICEBARD,ZAPLANCE,EYEBALL,AXE,HAMMER,CHAKRAM,WHIP,LEEK,WOODSWD,RAPIER,PISTOL,MONKSTAF,THIEFSWD,BROADSWD,FLAIL,ICICLE,HOLYWTR,SCYTHE,TONFA,MALLET,BEAMSWD,LEXICON,HOT_WING,HOOK,FISHYROD,FISH,CLEAVER,FORK,SHOTGUN,SAW,GLOVE,SNAKEWIP,BONEROD,CHOC_ICE,POPSICLE,BAYONET,REAPER,GOLDDICE,8HANDER,RATTLE,STRAWMAN,CARROT,BAZOOKA,HOLYSTAF,GOLFCLUB,GRABBER,STUNGUN,CRYSTAL,COCKER,SCORPION,IRONCLAW,KATANA,CARD,HOSE,DEFENDER,DARKNIFE,BOUQUET,BROOM,SCISSORS,BOLTCANE,BRUSH,NITEDICE,PENCIL,MAGICWND,LOLLIPOP,UMBRELLA,LASERGUN,PENKNIFE,BUSTER,KUNAI,SET_SQR,FOXTAIL,DUCKWHIP,CUTLASS,THORNWHP,TIGERSWD,HALBERT,ANGELARW
REDARMR,POWUP20,ACCUP20,,POWUP20,,,CRITUP20,GUARDUP20,,ACCUP20,,,,,,ACCUP20,POWUP20,,,,SPDUP20,CRITUP20,,,,POWUP30,POWUP20,,,POWUP20,,,,,,,,,,,,,,,,,,,,,,,,,,POWUP20,,,,,,,POWUP20,ACCUP20,,,GUARDUP20,CURSED,,,POWUP20,,,,,,,,,CRITUP40,MADMAN,,,,,POWUP40,POISON,COUNTER,ACCUP40,
IRONARMR,GUARDUP20,,,GROUNDED,,,,,,,,,,,,POWUP30,POWUP30,,,,,,POWUP10,,,GUARDUP30,GUARDUP20,,,,GUARDUP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POWUP20,,,,,,GUARDUP30,MGUARDUP20,,,,,,GUARDUP30,,,,,,,MGUARDUP40,,,,,,,,GUARDUP40,
PENGUIN,,,,,,,,,,,ELEMUP10,,ELEMUP20,,,,,,,,,,,,,,,ELEMUP30,MGUARDUP20,,,,,,,,TREAUP10,RECOVERY2,,,,,,,,MGUARDUP30,RECOVERY5,,,,,,,,,,,,,,,,,,,RECOVERY5,,,,,,,,,,,GUTS,,,,,,,,,,,,,
SHEEPY,,,,,,,,,,,,,,ELEMUP20,,,,,PETUP30,,,,,,,,,,,,,,,,,,,,,POWUP20,,,,,,,,,,,,SLOWHIT,,RECOVERY2,,,,,REFLECT,,,,,,,,,,,,,,,,,,,,,,,,,UNFAIR,COUNTER,,,,,
PIGTAILS,,SPDUP20,SPELL,,,,,POWUP10,,,,POWUP20,,,,,,ACCUP10,,SUPERMACH,,,,,SURPRISE,,,,,,GUARDUP10,,,ANALYSIS,,,,,,,,,ACCUP10,,,ELEMUP10,MGUARDUP10,,,,,,,POWUP20,,,,,,REFLECT,,WALL,,,GOLDUP10,,,WEAKNESSUP,MACH_HIT,POWUP30,ACCUP20,ELEMUP20,,,GUTS,,GUARDUP30,BIGDEFENSE,,,NO_GUARD,,UNFAIR,,,,MADMAN,,,BIDE
MAGEROBE,,,ELEMUP30,,,,,,,,ELEMUP20,ELEMUP20,ELEMUP20,ELEMUP20,ELEMUP30,,,,,,,,POWUP10,ELEMUP30,KILLER,,,,,POWUP30,,,,,,,,,,,,,,CRITUP10,ELEMUP30,,,,ELEMUP30,,,,POISON,,,,,,,ELEMUP30,,POWUP20,,,,,,,,,,ELEMUP30,,MACH_HIT,,SPELL,,REFLECT,,BODYSLAM,,MADMAN,,,,,,,,
SUMOSUIT,,,,POWUP30,,,,,,,,,,,,,POWUP30,,BODYSLAM,,,,,,,BODYSLAM,POWUP30,,,,,POWUP30,,,RECOVERY5,,,BODYSLAM,,,,,,,,RECOVERY5,RECOVERY5,,,,,,,BODYSLAM,ACCUP20,,POWUP30,,,,,,BODYSLAM,,,,,,,,,,,,,,MACH_HIT,,,,,,,,,,,,,
ROCKARMR,POWUP10,,,GROUNDED,,,,,RECOVERY2,,MGUARDUP20,,,,,POWUP10,GUARDUP20,,,ABSORPTION,POWUP20,,,,,ACCUP20,POWUP10,,MGUARDUP20,,,ELEMUP30,,,,,,,,,,POWUP10,,ACCUP20,,,,ACCUP20,,,MGUARDUP20,,,MGUARDUP10,GROUNDED,,GROUNDED,,,,BODYSLAM,,,,,,GUARDUP30,,RECOVERY10,,,,,,,,,,,,BIGDEFENSE,,,EXPUP40,,,,DASH,BODYSLAM,
THIEF,GUTS,DASH,,,GOLDUP10,,,,,SPDUP20,,,,,,,,POWUP20,,,,,,,DASH,,,,,,GUARDUP10,,,,,GOLDDIGGER,,,,,,TREAUP10,,,,,,,,GOLDUP30,,,,,,,,TREAUP30,PARALYSE,,,,POWUP20,,TREAUP20,,,,GOLDDIGGER,,TREAUP20,,,,,,GOLDUP20,,ELEMUP20,,,SPDUP40,,GOLDUP40,,,,ACCUP40,,
KENDO,MACH_HIT,,,,,,,,,,,,,,,,,,,,SUPERMACH,ACCUP30,,,,GROUNDED,,,,,,,,,,,,,,,,,MGUARDUP20,,,,,,,,,,,,,POWUP30,,,,,,,,,,,,,,EXPUP20,,,,,,,,,,,,,MACH_HIT,,,,,,,
HOLYROBE,,,MGUARDUP20,,,HEALER,,,,,,,,,,,,,,,,,,ELEMUP30,,,POWUP30,,ELEMUP30,,,,,MGUARDUP30,,,,,,,,,,,ELEMUP30,,,,,,,,,,,,,,,MAGIWALL,,,,,,,,,,,,CRITUP30,,,,HEALER,,,,,,,ANALYSIS,,,,,,,
BUFFARMR,GUARDUP30,,MGUARDUP30,BIGDEFENSE,,,,,MGUARDUP20,,MGUARDUP10,MGUARDUP10,MGUARDUP10,MGUARDUP10,,GROUNDED,BIGDEFENSE,,,,,,,,,REFLECT,GROUNDED,,,,GROUNDED,WALL,,,,,,,,,,,,,,,,,,,,,,,GUARDUP20,,,,,MAGIWALL,GUARDUP30,,,,,,RECOVERY10,MGUARDUP30,,,,,,,,,,MGUARDUP40,,,GUARDUP40,,,,,,,,,
KAPPA,,,,,,,,,SPDUP30,,ELEMUP30,,,,,,,,,MACH_HIT,,,,POWUP30,,,,,RECOVERY10,,,,,,,,,ACCUP20,,POWUP30,,,,,,,,,,,,,,,,,POWUP30,,,,,,,,,POWUP30,,,,,,,,,,,,SURPRISE,,,,,,,,POWUP30,,,,
WINDARMR,ACCUP20,,,,,,,,,,,,,ACCUP30,,,,,,,,SPDUP20,,,,,,,,,,,ACCUP20,,,,,,,,,,,,,,,,,,WEAKNESSUP,,,,,,,,,,,,,,,,WALL,,,,,MACH_HIT,,,,,,,,SPDUP40,,,,MACH_HIT,,,,,SPDUP40,
DNASUIT,PARALYSE,,,,,,PARALYSE,,,,ELEMUP20,,,,,,,,,,,,,,KILLER,,,,RECOVERY2,,,,,MGUARDUP20,,,,,,,,,,PARALYSE,,,,,,,,SLOWHIT,,,,,,SLOWHIT,PARALYSE,,,,,,,KILLER,,,,,,,,,,,,,POWUP30,,,,,,,,,,,
ANGEL,SPDUP20,ACCUP20,ELEMUP20,,GOLDUP10,,CRITUP20,,,,,,ELEMUP20,ELEMUP20,,,,ACCUP10,,,,SPDUP30,,EXPUP20,,,POWUP20,ACCUP20,ELEMUP20,,,,,EXPUP20,,,,,,,,,,,,RECOVERY5,,,,,,SPDUP20,,,,SPDUP10,,,,SPELL,,MAGIWALL,,,,,,,AVOID_RISK,,,MAGIC_HIT,POWUP30,,,,POWUP30,,,,,,,,ACCUP40,,,,,MADMAN
PIRATE,TREAUP30,SPDUP20,,,GOLDUP20,,,,,,,,,,,POWUP20,,,ACCUP20,,,CRITUP20,BIDE,,,TREAUP20,,,,,GUARDUP10,,,,,LUCK_UP,ACCUP20,,,,POWUP20,,,,TREAUP10,,,,,GOLDDIGGER,,,,,,,,,,,,,,,,,,CRITUP30,,,,,,DEVIL_LUCK,,,,,,,,MADMAN,,,,BIDE,,,,
FISHY,,,,,,,,,,,,,,,PETUP50,,,POWUP20,,RECOVERY10,,,,,,,,,,,,,,,RECOVERY10,,,GUTS,,POWUP30,,,MACH_HIT,PETUP30,,,,,,,,GROUNDED,,MGUARDUP20,,CRITUP10,POWUP30,,,REFLECT,,PARALYSE,,,,ELEMUP20,,,,,,,WEAKNESSUP,,,,,UNFAIR,,,,,,AVOID_RISK,,,POWUP40,,,
GOLDARMR,GROUNDED,,,,,,,,,,SLOWHIT,BIDE,WEAKNESSUP,PARALYSE,,ACCUP20,MGUARDUP20,,,,,GROUNDED,,MGUARDUP20,,ACCUP20,,,,,,GROUNDED,MGUARDUP20,,,,,,,,,,,,,,,,,GOLDUP20,,,,,,,,,,,,,,,,,GUARDUP20,,,,,,,,,,,,,,,,,,,GOLDUP40,,,,
SQUID,PETUP30,SURPRISE,,,,,,,,,MACH_HIT,,,,,MACH_HIT,,,,POISON,,ACCUP20,,,,,,MACH_HIT,WEAKNESSUP,,,,,,,,WEAKNESSUP,SUPERMACH,POWUP20,,,,,,,,,,,,,,,,,,,,,,,,,,,POWUP30,,,LUCK_UP,,MACH_HIT,,ELEMUP30,,,,AVOID_RISK,GUARDUP40,,,,,,,,,,,POWUP40,JAMMY
SAMURAI,KILLER,,,,,,,POWUP30,,,,,,,,,,,,,DEMONDASH,,,,,,,,,,,,,,,,LUCK_UP,,,,,,,,,,,,,,,,,,,,,,,,,,,DEMONDASH,,,,,,ACCUP30,,,,GOLDUP30,,,,,,POWUP20,,,,,,POWUP40,,SUPERMACH,,
JACKET,,POWUP30,,ACCUP20,CRITUP20,,,,,POWUP20,,,,,,CRITUP20,,SPDUP20,,,POWUP30,,CRITUP20,,BIDE,,,,,,SPDUP20,,,,,,,,,,,,,,,,,,,CRITUP30,,,,,ARMTWISTER,,,,ELEMUP30,,,,POWUP10,,GOLDUP30,,,,,,POWUP30,,,JAMMY,ACCUP20,,,,,SURPRISE,UNFAIR,,,,,,ACCUP40,,,
VAMPCAPE,MGUARDUP20,SPDUP20,ELEMUP20,,,,,,,,SLOWHIT,POWUP20,GUARDUP20,,PETUP50,,,,,,,MACH_HIT,,,ABSORPTION,,,,,,,,,,,,,,,,,,,ELEMUP20,WEAKNESSUP,,,,KILLER,,,,,,,,,,,,,,,,,,,ANALYSIS,,,BIDE,,,,,,,,,,BIDE,,,,,,SPDUP40,,,
ARABROBE,MAGIC_HIT,MAGIC_HIT,ELEMUP20,,,,,MAGIC_HIT,,,MAGIC_HIT,MAGIC_HIT,MAGIC_HIT,MAGIC_HIT,,MAGIC_HIT,,,,,,MAGIC_HIT,,ELEMUP20,MAGIC_HIT,MAGIC_HIT,,,,MAGIC_HIT,,,MAGIC_HIT,,,,,,,,,,,,ELEMUP20,,,MAGIC_HIT,MAGIC_HIT,ANALYSIS,,,,,,,,,,,,,,MAGIC_HIT,,,MAGIC_HIT,MAGIC_HIT,,,,,,,,,,,,,MAGIC_HIT,,,,,MAGIC_HIT,,MAGIC_HIT,,
HARESUIT,,,,,,,,,POWUP20,,,,,,,NO_GUARD,,,,,,,,,,,,,,,,MGUARDUP20,,,,,,,,,,,,,,,,,,,,ACROBAT,,SUPERMACH,,,,,,,,,,,,,,,,,,,,,,,ARMTWISTER,,,,,,,GROUNDED,,,,,,GUTS
LORDROBE,PETUP30,GUTS,,,GOLDUP20,,,POWUP30,,,,,,,,,,,,,ACCUP20,,POWUP20,,,,,,,,,,,ANALYSIS,,,EXPUP20,,,,,,,,,MGUARDUP30,ELEMUP30,,,GOLDDIGGER,,,,,,,,,,,,,,JAMMY,,,,,,SLOWHIT,,,SPDUP30,,UNFAIR,,SURPRISE,,,,,CRITUP40,,,DISCOVERY,,,EXPUP40,,
RIBBON,,GOLDUP10,PETUP30,,CRITUP10,HEALER,POWUP20,,,,,,ELEMUP20,,,CRITUP20,,POWUP20,ACCUP20,POWUP20,,ACCUP20,,MACH_HIT,ACCUP20,POWUP20,GUARDUP20,ELEMUP10,ELEMUP10,,,,ELEMUP30,,,,,GOLDUP10,ACCUP20,CRITUP20,,,,,,EXP_FARMER,GOLDDIGGER,,,TREAUP20,,RECOVERY5,,,,,,,,MGUARDUP20,,,,,,,,,BIDE,RETALIATE,,,ACCUP20,,,,SLOWHIT,,,,,,,,DEVIL_LUCK,,,,COUNTER,SPDUP30
CHEF_HAT,,SUPERMACH,,POWUP20,,,,,,,,MGUARDUP20,,,,,,,,WEAKNESSUP,,,,,,,,ELEMUP20,,,,,,,GOLDUP30,,,POWUP30,ACCUP30,CRITUP30,,,,,,GOLDUP20,TREAUP20,,,,,,,PETUP30,,,,,,,,,,,,ACCUP20,,,,,CRITUP30,,EXPUP20,,,,,,,MADMAN,,,,,,,,,,
JUDO,,,,BODYSLAM,,,,,BODYSLAM,,,,,,,,,,,,EXPUP20,,,,,,BODYSLAM,,MGUARDUP20,,POWUP30,,,,DEMONDASH,,,,,,,,GUTS,,,,,,,,,,,,,BODYSLAM,CRITUP30,,,,,,BODYSLAM,,,,,,,,,,,,,,,,,,,,GUARDUP40,,,,,,,
CYBORG,,,,POWUP20,,,,,,ACCUP20,,,,ELEMUP30,,,SUPERMACH,,,,,,CRITUP30,,,,,,,,,,MGUARDUP20,,,,,,,,POWUP30,POWUP20,,,,,,,,,,,,,KILLER,,POWUP30,,SUPERMACH,,GUARDUP30,,,,,,,,,,,PARALYSE,,,,,,,ELEMUP40,,POWUP30,,,,,,,,,
HUNTMSTR,SPDUP20,TREAUP20,,ACCUP20,,,POWUP30,POWUP20,SPDUP30,,,,,,,ACCUP30,GUARDUP30,ACCUP30,,,,,POWUP20,,,,,,RECOVERY5,GOLDUP20,,,,,,,ACCUP20,POWUP20,ACCUP20,,CRITUP30,EXPUP20,,ELEMUP20,,,,BIDE,,,MGUARDUP20,,,,,,ACCUP20,,,,,,,,,,,,,,ACCUP20,,,,,,,,,ACCUP40,,,,JAMMY,COUNTER,,ACCUP30,,,
BOXER,,,,,,,,,,,,,,,,,,,SPDUP20,,,,,,,,,,RECOVERY10,,,,,,PROVOKE,,,,,,,,NO_GUARD,,,GUTS,GROUNDED,,,,,,,,,,ACCUP30,,,,,,,,,,,,GOLDUP20,,,,,,,,,,,,,,SPDUP30,,,,,,,
WHTROBE,MGUARDUP20,,MGUARDUP20,,,HEALER,,NO_GUARD,,ACCUP20,,,,,,,,,,,POWUP20,,,EXP_FARMER,,,,,ELEMUP20,,,MGUARDUP20,ACCUP20,,,,,,,,,,,,KILLER,,,,WEAKNESSUP,,,GUARDUP20,SCAPEGOAT,,,,,,,MAGIWALL,,PARALYSE,,,,,,,,GUARDUP30,,MGUARDUP30,,,,,,,,,,,,,GUARDUP40,,,POWUP30,GUARDUP20,
CHICKEN,POWUP10,,,,,,,,ACCUP20,,,,,ELEMUP20,,POWUP20,GUARDUP20,,,,,,,MGUARDUP20,,POWUP20,,,,,,,ELEMUP20,,GUTS,,,,,,,ACCUP30,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRITUP30,,,GOLDDIGGER,,,,,,,,,,,,DEMONDASH,,,,,
HOOTSUIT,SPDUP10,,,,,,,,MGUARDUP30,,,,,,,POWUP20,GUARDUP20,,,,,,,,BIDE,,,,,,,,,,,,,,,,,SPDUP30,,GUARDUP20,ELEMUP20,,,,,,,RECOVERY5,SLOWHIT,,,,,,,,,,,,,,,SURPRISE,,ACCUP30,,,EXP_FARMER,,,,,,,,,,,POWUP30,,,,,BODYSLAM,
LIONHART,POWUP20,SPDUP20,,POWUP20,,,ACCUP20,,,ACCUP20,,,,,,POWUP20,POWUP20,,PETUP50,,BODYSLAM,CRITUP20,,,,GUARDUP20,GUARDUP20,,,POWUP20,GUARDUP20,MGUARDUP20,WEAKNESSUP,,RECOVERY2,,TREAUP20,MACH_HIT,,,,POWUP30,,MGUARDUP20,,,,POWUP20,,,,,,,,GUARDUP30,ACCUP30,,,,GROUNDED,,POWUP20,,,,,,,,,,,,,,,,,,POWUP40,,,,,MACH_HIT,,,,
TUXEDO,SPDUP10,,CRITUP20,,GOLDUP20,,,,,,,,,,,,,POWUP30,,,,POWUP30,KILLER,,SURPRISE,,,,,,GUARDUP20,,,MGUARDUP10,,,,,,,,,,,,,,,,TREAUP20,,,,,,,MACH_HIT,,,,,,,,SUPERMACH,,,POWUP30,SUPERMACH,,,,,POWUP30,ANALYSIS,,,RETALIATE,,,,SPDUP30,,,,,,,,
SWINDLER,CRITUP20,SURPRISE,,,SUPERMACH,,,,TREAUP20,CRITUP30,,,,,,,,,TREAUP20,,,,,,,,,,,,,,,ANALYSIS,,,,,,,,,,,,GOLDUP30,TREAUP30,,,LUCK_UP,,,,,,CRITUP30,CRITUP30,GOLDUP20,PARALYSE,,,,,,JAMMY,,,,,,,,,DEVIL_LUCK,CHANCE,,,,,GUARDUP40,,,ANALYSIS,,,UNFAIR,,,,
CLOWN,SURPRISE,,ELEMUP20,,CRITUP30,,ACCUP20,,,POWUP20,WEAKNESSUP,,,,MGUARDUP30,,,MACH_HIT,CRITUP30,,,,ACCUP20,,POISON,,,,,,,,,,,SPDUP20,,,,,,POWUP20,,GROUNDED,,,,,,GOLDUP30,,MGUARDUP20,SLOWHIT,,,GUARDUP20,,SUPERMACH,PARALYSE,,,MGUARDUP20,,,ACROBAT,PROVOKE,,,UNFAIR,GOLDUP20,NO_GUARD,,,ARMTWISTER,,,,ARMTWISTER,,ACCUP20,,,,,CRITUP40,,,,,
BONECAPE,REFLECT,,ELEMUP30,,,,,,,,ELEMUP30,,,,ABSORPTION,,,,,,,,,,BIDE,,MGUARDUP20,KILLER,POISON,POWUP30,,,,MAGIWALL,,,,,ACCUP30,,,,,POISON,ELEMUP30,,,,BIDE,,,,REFLECT,,,,,,BIDE,ELEMUP30,,CRITUP30,,,,,,CURSED,,MGUARDUP30,KILLER,ACCUP30,,KILLER,,,,,,,,,,SPDUP30,,,SLOWHIT,,,
APRON,,EXPUP10,,,,,,,RECOVERY5,,,,,,,ACCUP20,GUARDUP30,,,POWUP30,,,,MGUARDUP30,,,,ELEMUP20,,MACH_HIT,,,ELEMUP30,,ELEMUP30,,,ELEMUP30,EXP_FARMER,GUARDUP30,,,,,,RECOVERY10,RECOVERY10,,,,,HEALER,,WEAKNESSUP,,,,,,,,,,,,SUPERMACH,,,RECOVERY5,MACH_HIT,POWUP30,,SUPERMACH,,,,ACCUP40,LUCKY,,,,,,,,,,,,
ROACH,GUARDUP30,SPDUP20,,,,,,,SPDUP30,,,,,,,,,,,STINKY,,,,,,GUARDUP30,,,RECOVERY5,,,,,,DASH,,,EXPUP10,,,,,,,,DEMONDASH,DEMONDASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUARDUP40,,,,,,,,,,,,,
OGREFACE,SPDUP20,,ELEMUP20,,,,,SUPERMACH,ELEMUP30,SPDUP20,,,,WEAKNESSUP,,POWUP30,,,CRITUP10,,,ACCUP20,,GROUNDED,,,,SPDUP20,,,,POWUP30,,,,,,,,,,ACCUP30,,MGUARDUP30,,,,,,,PETUP50,,,,,GROUNDED,,,,,,POWUP30,,,,,,,,,,ELEMUP20,,,,,,,,,,ACCUP40,,,,,WEAKNESSUP,ACCUP30,,
BIKER,CRITUP20,SPDUP20,,DASH,,,,,,,,,,,,CRITUP30,CRITUP30,,,,GUTS,,,,,ARMTWISTER,,,,,GUARDUP30,BODYSLAM,,,,,,,,,,POWUP30,GUTS,,,,,,,,,,,,,ACCUP20,GROUNDED,,,,POWUP20,,,,,,,,SURPRISE,,,,,CRITUP30,,,,,,UNFAIR,,,,,,,,,,GROUNDED
NINOMIYA,GROUNDED,,,,,,,POWUP20,,,,,,,,ACCUP30,BIGDEFENSE,,,,,,,EXP_FARMER,,GUARDUP30,GROUNDED,,,,,,,DEATHMARCH,,,,,,,,DASH,,,,,,,,,,,,,,,,,,,,,,,,,WALL,,,EXP_FARMER,,,,LUCK_UP,EXPUP20,,,,,,GUARDUP40,,GUTS,,,,,,,
FIREJIG,GUTS,SPDUP30,SUPERMACH,,,,,,PETUP50,,,SPDUP30,,,,SPDUP20,,,SPDUP20,,,SPDUP30,,,,SPDUP20,,CRITUP20,,,,,,,,,,,,,,,,,,,,,,,ELEMUP30,,SCAPEGOAT,,,,,,,,,,,,,,,,DASH,,,,,,,,,,,,,CRITUP40,,SPDUP30,,,,,,
ZOMBIE,POISON,,,,LUCK_UP,,,ACCUP20,MGUARDUP20,,ELEMUP20,,,,REFLECT,GROUNDED,GROUNDED,,,,,,,,NIGHT_OWL,ACCUP20,POWUP20,,,,,ELEMUP20,,,,,,,,,,,,MGUARDUP20,POISON,,,,,,,,MACH_HIT,,,,,,,,,MACH_HIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOLFSUIT,,EARLY_BIRD,,,,,,,MGUARDUP20,,,,,,,ACCUP30,POWUP30,,,,,CRITUP20,,,NIGHT_OWL,GROUNDED,,,,,GUARDUP30,MGUARDUP30,,,,POWUP20,ACCUP20,MGUARDUP20,,,,MACH_HIT,,,,,,POWUP30,,,,,,,,,POWUP20,,,,,,POWUP30,,,,,,,,RETALIATE,,,,,,,,,DEVIL_LUCK,,,,,,,,,,
REDPANTS,PROVOKE,,SPDUP30,,,,,,,SPDUP20,,ACCUP30,,,,GUTS,GUTS,SPDUP30,,,,MACH_HIT,,,GUTS,,,,,,,,,JAMMY,SPDUP20,SPDUP20,,,SPDUP20,,,,GUTS,,,,,,,,SPDUP20,,,,,,,,,,SPDUP20,SPDUP30,,,,,,,,,,,ELEMUP20,,,,,,,,,,,,SPDUP40,,UNFAIR,,,
INVCLOAK,CRITUP30,SPDUP30,,,,,,,SPDUP20,ACCUP20,ELEMUP20,,,,SLOWHIT,SPDUP10,POWUP20,POWUP20,,,,POWUP20,SPDUP20,RECOVERY2,KILLER,SPDUP10,,,MGUARDUP20,SURPRISE,GUARDUP10,,ELEMUP20,,,,,WEAKNESSUP,SPDUP30,,,,,,,,,,,SPDUP10,,,POISON,,,,,SURPRISE,,ABSORPTION,,SPDUP20,,,,,,,MGUARDUP20,,ARMTWISTER,,,,,,,,,,,,,,,,,,,
